,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content-en
0,87a03e56-8b0f-4261-9d64-c4b9ae6413b1,Ebru Nisa Keyifli,https://play-lh.googleusercontent.com/a-/AD_cMMR-f8G3lkO8B01EFH60_k8gmfXcMMkApDJgebPmug,Uygulama yükledim fakat nasıl kayıt olacağımı bilmiyorum şifre ve kullanıcı adı istiyor uygulama ilk kez yüklüyorum bir şifrem yok kayıt olma yeri de yok,1,0,1.16.9,2023-05-26 8:47:00,"Merhaba, Raunt Cep Uygulaması’nı tüm özellikleriyle kullanabilmek için www.raunt.com’dan ürününün satın alınması gerekmektedir. Aklınıza takılan her konuda detaylı bilgi almak için 444 54 73 numaralı Raunt Destek Hattımızı arayabilirsiniz. 🙏",2023-05-26 8:50:06,1.16.9,"I installed the application but I don't know how to register, password and user name wants the application for the first time I install a password, there is no place to register"
1,0decd228-b8da-4583-b23f-eb8812297abf,Hacer Avsar,https://play-lh.googleusercontent.com/a/AAcHTtcZB_dVJDoPf8_B3bMMSw8xyyR1CkccsJ09pyGa=mo,Deneme paketini aldım. İlk denemeler gayet güzeldi ancak 4. denemeden sonra pdf çıkarmak için hata vermeye başladı. Uygulamadan çözeyim dedim bu kez de soruları göstermemeye başladı. Analiz yapıyor olması ve derecenizi göstermesi çok hoşuma gitse de bu sorunlardan fazlasıyla şikayetçiyim.,3,0,1.16.9,2023-05-25 8:02:19,"Merhaba, yaşadığınız bu durumla ilgili size yardımcı olabilmemiz için 444 54 73 numaralı Raunt Destek Hattımızı arayabilir ya da destek@raunt.com e-posta adresine mesaj gönderebilirsiniz. Raunt'la ilgili her konuda size yardımcı olmak isteriz. 🙏 Sevgilerimizle. 😊",2023-05-25 10:05:10,1.16.9,"I got the trial package. The first attempts were fine, but after the 4th attempt, PDF began to give an error to remove. I said let me solve it from the application this time began to show the questions. Although I like to analyze and show your degree, I am more than complaining about these problems."
2,c3814650-30f3-4498-968a-5c4b896680ab,Sıla Akçam,https://play-lh.googleusercontent.com/a/AAcHTtffWDDn6PfBNYf7NMn6m42ptyGHSTeJhz7AW_nw=mo,Uygulama inmiyor bı yardım please,3,0,,2023-05-02 20:09:40,"Merhaba, yaşadığınız bu durumla ilgili size yardımcı olabilmemiz için 444 54 73 numaralı Raunt Destek Hattımızı arayabilir ya da destek@raunt.com e-posta adresine mesaj gönderebilirsiniz. Raunt'la ilgili her konuda size yardımcı olmak isteriz. 🙏 Sevgilerimizle. 😊",2023-05-03 8:01:10,,Application does not get off.
3,6f4a879c-58c8-4184-a842-b24e944fa4cf,x y,https://play-lh.googleusercontent.com/a/AAcHTtdkHzM_FqDn_zsDBcpm-NwdJkB59tgJhApQC5Md=mo,Ez açık var uğraşın durun,5,0,1.16.9,2023-04-30 16:42:12,Raunt Ekibi olarak başarılar dileriz. 😊🙏❤️,2023-05-01 20:18:21,1.16.9,"There is an open, you stop working"
4,ee3a826d-9ab8-4f4f-93d1-936ba572c6a2,m i e s h a / /,https://play-lh.googleusercontent.com/a-/AD_cMMSuP27hkKS1ATVC9_ObubRNSCSl_aStBBRJ4YVq,"Baska cihazdan giris yapildi diye atiyo ama baska cihazim yok, tekrar giris yapmaya calisirken sorun olusuyo bosa zaman kaybi. telden fasikullerin ornek soru cozumlerine ulasamiyorum. Tyt icin hic sozel kaynagi gelmiyo ne alaka tytde tum dersler olmasi lazim ve mat test kitabinda hic yeni nesil yok konu videolari da cok eski ve yavas hic anlasilir veya dinlemesi zevkli degil pismanim",1,1,1.16.8,2023-04-14 8:34:36,"Merhabalar, yaşadığınız bu durumla ilgili size yardımcı olabilmemiz için 444 54 73 numaralı Raunt Destek Hattımızı arayabilir ya da destek@raunt.com e-posta adresine mesaj gönderebilirsiniz. Raunt'la ilgili her konuda size yardımcı olmak isteriz. Sevgilerimizle. 🙏",2023-04-14 15:19:38,1.16.8,"I do not have any other device, but I don't have any other device, the problem occurs when you try to enter again. I can't reach the sample question solutions of the fasciculum from the wire. Tyt for all the source of the source does not come to all the relevance of all the lessons in the matte test book, no new generation of subject videos in the book is very old and slowly understood or listening to my regret not enjoyable"
5,29f3b551-9cbc-4dd4-8017-2cf31f86f1e1,Emine AĞAOĞLU,https://play-lh.googleusercontent.com/a/AAcHTtd4THXAWvjidc7aejM9kpuiawoqkyHuH74zxriZ=mo,Bence gerçekten çok yararlı ben çok beğendim eksiklerimi kapattım sizin sayenizde,5,0,,2023-04-09 9:28:28,"Merhaba, geri bildiriminiz için teşekkür ederiz. 😊 Raunt Ekibi olarak başarılar dileriz. 🙏❤️",2023-04-10 7:29:04,,"I think it is really useful, I liked it very much, I closed my shortcomings, thanks to you"
6,e391d407-3888-44d4-bb1f-b22788f53a48,Sevda Yönten,https://play-lh.googleusercontent.com/a-/AD_cMMQF41lRAMVSNXN5ZZXheoZGljYkkUKGmQB25FTh,Bunu alıp düzenli çalışan herkes kazanır aşırı iyi bir sistem,5,0,1.16.6,2023-03-21 12:48:49,"Merhaba, geri bildiriminiz için teşekkür ederiz. 😊 Raunt Ekibi olarak başarılar dileriz. 🙏❤️",2023-03-21 12:51:18,1.16.6,Anyone who takes this and works regularly wins an extremely good system
7,db2f1913-192b-43ba-9ff5-eb694e1b6af9,Merve Aydin,https://play-lh.googleusercontent.com/a/AAcHTtdebQnN2etTRIUKt7McgDwSNWFLu2eBdl5_rrr0=mo,Hocaları iyi değil,1,0,,2023-03-20 18:51:46,"Merhaba, öneri ve eleştirilerinizle ilgili size yardımcı olabilmemiz için 444 54 73 numaralı Raunt Destek Hattımızı arayabilir ya da destek@raunt.com e-posta adresine mesaj gönderebilirsiniz. Raunt'la ilgili her konuda size yardımcı olmak isteriz. Sevgilerimizle. 🙏",2023-03-21 8:20:41,,Their teachers are not good
8,63e082ba-1de6-4934-9995-95c85c1b93ae,Ceyda Yılmaz,https://play-lh.googleusercontent.com/a/AAcHTtdQU8RRX0KLO_gc-de25QpEe4KI7-irLW-yyOWU=mo,keşke sene başında alsaydım,5,0,1.16.5,2023-03-16 20:31:52,"Merhaba, öncelikle yorumunuz için çok teşekkür ederiz. 🙏 Raunt'la ilgili her konuda size destek olmaktan mutluluk duyarız. Tüm hayallerinizin gerçek olması dileğiyle başarılar dileriz. ❤️😊",2023-03-17 11:02:56,1.16.5,I wish I could take it at the beginning of the year
9,022a4765-449b-4820-b842-f4c70e05cb48,Resul Demir,https://play-lh.googleusercontent.com/a/AAcHTte3icEOEN203CzQrI2o57Lxzi8amB4Ca8IIOjWO=mo,Bence gerek yok kitaplar fena değil (matematik hariç o çok basit) ama cevapları tek tek girmek zaman kaybı,2,0,1.9.5,2023-03-12 10:51:04,"Merhabalar, öneri ve eleştirilerinizle ilgili size yardımcı olabilmemiz için 444 54 73 numaralı Raunt Destek Hattımızı arayabilir ya da destek@raunt.com e-posta adresine mesaj gönderebilirsiniz. Raunt'la ilgili her konuda size yardımcı olmak isteriz. Sevgilerimizle. 🙏",2023-03-13 7:59:19,1.9.5,"I don't think the books are not bad (except math), but it is a waste of time to enter the answers one by one"
